NEGERI,DAERAH,MUKIM,KOORDINAT,MASA,TARIKH BUKA,NAMA PPS,KATEGORI,JANTINA,JUMLAH,Latitude,Longitude
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Dewasa,Lelaki,92,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Dewasa,Perempuan,97,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Kanak-Kanak,Lelaki,48,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Kanak-Kanak,Perempuan,43,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Bayi,Lelaki,2,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Bayi,Perempuan,4,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Warga Emas,Lelaki,15,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Warga Emas,Perempuan,16,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Oku,Lelaki,0,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",13:30,2024-11-27,Smk Changlun,Oku,Perempuan,1,6.4373,100.4444
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Dewasa,Lelaki,32,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Dewasa,Perempuan,44,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Kanak-Kanak,Lelaki,12,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Kanak-Kanak,Perempuan,10,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Bayi,Lelaki,1,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Bayi,Perempuan,3,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Warga Emas,Lelaki,9,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Warga Emas,Perempuan,8,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Oku,Lelaki,1,6.307,100.479
Kedah,Kubang Pasu,Malau,"6.3070° N, 100.4790° E",19:41,2024-11-27,Sk Binjai,Oku,Perempuan,0,6.307,100.479
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Dewasa,Lelaki,33,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Dewasa,Perempuan,43,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Kanak-Kanak,Lelaki,11,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Kanak-Kanak,Perempuan,14,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Bayi,Lelaki,1,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Bayi,Perempuan,0,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Warga Emas,Lelaki,3,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Warga Emas,Perempuan,6,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Oku,Lelaki,0,6.4373,100.4444
Kedah,Kubang Pasu,Temin,"6.4373° N, 100.4444° E",20:21,2024-11-27,Sk Felda Batu 8,Oku,Perempuan,0,6.4373,100.4444
Kedah,Kubang Pasu,Jitra,"6.2644° N, 100.4202° E",21:44,2024-11-27,Sk Ahmad Tajuddin,Dewasa,Lelaki,44,6.2644,100.4202
